time_s,track_id,lat_deg,lon_deg,alt_m,range_m,azimuth_deg,elevation_deg,radial_velocity_mps,snr_db,rcs_dbsm,x_ecef_m,y_ecef_m,z_ecef_m,vx_ecef_mps,vy_ecef_mps,vz_ecef_mps
41.0,1,39.19716378661012,-76.56351035819168,43029.82655861415,67677.58121273485,51.583754122139055,39.24531135630221,1523.4886986033014,10.74564716789028,-6.1720071925948155,1155032.6692635082,-4834659.685795102,4053608.7467175643,1011.3718800620632,71.39673797296598,1147.7312714114303
41.25,1,39.19891639833973,-76.56062789012834,43242.94460236747,68058.27077555408,51.58375412213945,39.212343808781334,1522.0280982427682,12.959831207939393,-3.4887715667232784,1155285.458737967,-4834641.6042136885,4053895.4870612966,1010.9439156065516,73.25591334381625,1146.1914784451037
41.5,1,39.200668850531954,-76.55774542383601,43455.46550184768,68438.59540913881,51.58375412213928,39.179345276636106,1520.569265271236,9.560521756214088,-5.6989304285787465,1155538.1412213116,-4834623.057838431,4054181.842456787,1010.5159511510401,75.11508871466663,1144.6516854787774
41.75,1,39.20242114369202,-76.55486295849953,43667.389256243594,68818.55555574161,51.58375412213911,39.146315738088006,1519.1122029218445,9.05865758521717,-4.9672179071237395,1155790.7167135426,-4834604.04666933,4054467.812904036,1010.0879866955285,76.974264085517,1143.111892512451
42.0,1,39.20417327832501,-76.5519804933038,43878.71586474776,69198.15165842159,51.58375412213917,39.11325517139854,1517.6569144321827,12.02023917365808,-5.6711402773965816,1156043.1852146594,-4834584.570706388,4054753.3984030434,1009.6600222400169,78.83343945636739,1141.5720995461245
42.25,1,39.205925254935785,-76.54909802743374,44089.44532656483,69577.3841610491,51.58375412213951,39.08016355487016,1516.2034030442817,12.518799067024345,-3.844687963893304,1156295.5467246627,-4834564.629949602,4055038.5989538087,1009.2320577845053,80.69261482721777,1140.032306579798
42.5,1,39.20767707402903,-76.54621556007429,44299.57764090784,69956.253508306,51.583754122139,39.04704086684939,1514.7516720046035,11.81567174268313,-7.2912895085980995,1156547.8012435515,-4834544.224398974,4055323.4145563333,1008.8040933289938,82.55179019806803,1138.4925136134716
42.75,1,39.20942873610923,-76.54333309041041,44509.11280699819,70334.76014568492,51.58375412213877,39.01388708572291,1513.3017245640488,11.940980139787715,-4.927966426767422,1156799.9487713268,-4834523.354054503,4055607.845210616,1008.3761288734822,84.41096556891841,1136.9527206471453
43.0,1,39.21118024168066,-76.54045061762713,44718.05082406849,70712.9045194925,51.58375412213917,38.98070218992191,1511.8535639779393,6.89357639935114,-3.383790318348793,1157051.9893079884,-4834502.01891619,4055891.8909166567,1007.9481644179707,86.2701409397688,1135.412927680819
43.25,1,39.21293159124741,-76.53756814090943,44926.3916913569,71090.68707684978,51.58375412213951,38.94748615792003,1510.4071935060226,12.109304180976814,-5.591103425191106,1157303.922853536,-4834480.218984034,4056175.551674456,1007.5201999624591,88.12931631061917,1133.8731347144924
43.5,1,39.214682785313414,-76.53468565944235,45134.13540811278,71468.10826569372,51.58375412213934,38.91423896823337,1508.9626164124645,13.78740663052608,-6.581594399453943,1157555.7494079696,-4834457.954258035,4056458.827484014,1007.0922355069475,89.98849168146955,1132.3333417481658
43.75,1,39.21643382438235,-76.53180317241096,45341.28197359387,71845.16853477668,51.58375412213928,38.88096059942218,1507.5198359658455,12.43726525616847,-4.631643387299341,1157807.4689712895,-4834435.224738193,4056741.71834533,1006.6642710514359,91.84766705231982,1130.7935487818395
44.0,1,39.21818470895776,-76.52892067900036,45547.831387069076,72221.86833367002,51.583754122138885,38.84765103009164,1506.07885543915,12.280778613637207,-5.570943661521794,1158059.0815434952,-4834412.030424508,4057024.224258405,1006.2363065959244,93.7068424231702,1129.2537558155132
44.25,1,39.219935439542944,-76.52603817839564,45753.78364781197,72598.20811276304,51.583754122139226,38.81431023888997,1504.6396781097708,11.02871998160562,-3.9315284440109615,1158310.5871245875,-4834388.3713169815,4057306.345223238,1005.8083421404128,95.56601779402058,1127.7139628491866
